post/keyword,comment/tweet,username,majority_sent,lang_id
Taiping Perak Banjir 28/08/2022 #azrulazim352 #fyp #fyp??viral #fy #foryou #CapCut #brrandatiktok #jacksparrow Publish: 28-8-2022,sius la awk..bnjir sana..kwn xckp ape pon??,33d2a31d-c13,neutral,my
Taiping Perak Banjir 28/08/2022 #azrulazim352 #fyp #fyp??viral #fy #foryou #CapCut #brrandatiktok #jacksparrow Publish: 28-8-2022,"srikota, taman sg mas, air kuning semua banjir yg mana dekat dengan sungai",61957789-224,neutral,my
Taiping Perak Banjir 28/08/2022 #azrulazim352 #fyp #fyp??viral #fy #foryou #CapCut #brrandatiktok #jacksparrow Publish: 28-8-2022,massyaallah.. . dasyatnya bnjir kali nie kawan.. . hurmmm.. .,cffa43d1-936,negative,my
banjir simpang 4 benoni #banjir2022 Publish: 10/09/22,Simpang p papar kan?,c3128b6f-2e5,neutral,my
banjir simpang 4 benoni #banjir2022 Publish: 10/09/22,nasib baik lah sempat limpas,813bbc92-ca2,positive,my
banjir simpang 4 benoni #banjir2022 Publish: 10/09/22,tadi jam 4 ptg,7fdce557-7e8,neutral,my
banjir simpang 4 benoni #banjir2022 Publish: 10/09/22,baru jga sya limpas sini tdi ptang jam 3 seblum banjir,9a515318-4e6,neutral,my
banjir simpang 4 benoni #banjir2022 Publish: 10/09/22,nasib dapat limpas tadi.di sabindo pun banjir juga tu pertronas..,60eabd75-67a,neutral,my
banjir simpang 4 benoni #banjir2022 Publish: 10/09/22,Na mcm mn mulik?,45f53f3d-40d,neutral,my
banjir simpang 4 benoni #banjir2022 Publish: 10/09/22,semoga kita semua dilindugi oleh allah aamiinn hati2 sahabat bila banjir ni sahabat,4218765d-800,positive,my
banjir simpang 4 benoni #banjir2022 Publish: 10/09/22,Adui dulu selalu tda banjir gitu ba kan..,15a72f07-35d,negative,my
banjir simpang 4 benoni #banjir2022 Publish: 10/09/22,sabah kawasan kota Kinabalu,62a4af2f-f85,neutral,my
banjir simpang 4 benoni #banjir2022 Publish: 10/09/22,be safe ok??????,00d98c2d-777,positive,en
banjir simpang 4 benoni #banjir2022 Publish: 10/09/22,astaga...baru Kita mahu balik papar..,40f9f71a-6c0,neutral,my
banjir simpang 4 benoni #banjir2022 Publish: 10/09/22,bila benoni ada suda bangunan tinggi macam kl ya,1e889d53-d5c,negative,my
banjir simpang 4 benoni #banjir2022 Publish: 10/09/22,Alala banjir ..stay safe guys,1849f02e-f4a,positive,cm
banjir simpang 4 benoni #banjir2022 Publish: 10/09/22,dlu nda pernah banjir baru ni kali.,16279533-066,negative,my
banjir simpang 4 benoni #banjir2022 Publish: 10/09/22,Astaga.kuat nya banjir,58255ac6-430,neutral,my
banjir simpang 4 benoni #banjir2022 Publish: 10/09/22,bulan sabalas lagi besarrrrrrrrr,ca2f0635-147,neutral,my
"Alhamdulillah bantuan cepat betul sampai,syabas rakyat malaysia.#banjir #balingkedah #banjirbaling Publish: 5-7-2022",TERBAIKKKK WARGA MALAYSIA.... MEMBERI SUMBANGAN....????????????????????????????,fdb58770-2f3,positive,my
"Alhamdulillah bantuan cepat betul sampai,syabas rakyat malaysia.#banjir #balingkedah #banjirbaling Publish: 5-7-2022",insyaallah kami akan menyusul raya ke 2 isnin nanti,6dd0f9cd-086,positive,my
